34&13&13&0&1\\\hline
13&8&8&0&1\\\hline
8&3&3&0&0\\\hline
3&2&2&0&1\\\hline
2&1&1&0&0\\\hline
1&0&0&0&1\\\hline
9103928682586347&123456789&9103928682586347&123456789&29\\\hline
818883819708651&123456789&818883819708651&123456789&26\\\hline
216746788151061&123456789&216746788151061&123456789&22\\\hline
42160863813867&123456789&42160863813867&123456789&20\\\hline
9797407318251&123456789&9797407318251&123456789&18\\\hline
1706543194347&123456789&1706543194347&123456789&16\\\hline
316172836629&123456789&316172836629&123456789&13\\\hline
63333332757&123456789&63333332757&123456789&11\\\hline
123456789&123456789&123456789&123456789&9\\\hline
123456789&0&0&123456789&0\\\hline
